Run	age	cell_type	tissue
SRR1974543	postnatal 54 years	oligodendrocytes	cortex
SRR1974544	postnatal 54 years	hybrid	cortex
SRR1974545	postnatal 54 years	oligodendrocytes	cortex
SRR1974546	postnatal 54 years	hybrid	cortex
SRR1974547	postnatal 54 years	hybrid	cortex
SRR1974548	postnatal 54 years	oligodendrocytes	cortex
SRR1974549	postnatal 54 years	oligodendrocytes	cortex
SRR1974550	postnatal 54 years	hybrid	cortex
SRR1974551	postnatal 54 years	hybrid	cortex
SRR1974552	postnatal 54 years	hybrid	cortex
SRR1974553	postnatal 54 years	oligodendrocytes	cortex
SRR1974554	postnatal 54 years	hybrid	cortex
SRR1974555	postnatal 54 years	hybrid	cortex
SRR1974556	postnatal 54 years	hybrid	cortex
SRR1974557	postnatal 54 years	astrocytes	cortex
SRR1974558	postnatal 54 years	hybrid	cortex
SRR1974559	postnatal 54 years	hybrid	cortex
SRR1974560	postnatal 54 years	hybrid	cortex
SRR1974561	postnatal 54 years	oligodendrocytes	cortex
SRR1974562	postnatal 54 years	oligodendrocytes	cortex
SRR1974563	postnatal 54 years	oligodendrocytes	cortex
SRR1974564	postnatal 54 years	oligodendrocytes	cortex
SRR1974565	postnatal 54 years	OPC	cortex
SRR1974566	postnatal 54 years	oligodendrocytes	cortex
SRR1974567	postnatal 54 years	hybrid	cortex
SRR1974568	postnatal 54 years	hybrid	cortex
SRR1974569	postnatal 54 years	hybrid	cortex
SRR1974570	postnatal 54 years	oligodendrocytes	cortex
SRR1974571	postnatal 54 years	oligodendrocytes	cortex
SRR1974572	postnatal 54 years	oligodendrocytes	cortex
SRR1974573	postnatal 54 years	oligodendrocytes	cortex
SRR1974574	postnatal 54 years	oligodendrocytes	cortex
SRR1974575	postnatal 54 years	OPC	cortex
SRR1974576	postnatal 54 years	OPC	hippocampus
SRR1974577	postnatal 54 years	hybrid	hippocampus
SRR1974578	postnatal 54 years	OPC	hippocampus
SRR1974579	postnatal 54 years	OPC	hippocampus
SRR1974580	postnatal 54 years	OPC	hippocampus
SRR1974581	postnatal 54 years	OPC	hippocampus
SRR1974582	postnatal 54 years	microglia	hippocampus
SRR1974583	postnatal 54 years	OPC	hippocampus
SRR1974584	postnatal 54 years	hybrid	hippocampus
SRR1974585	postnatal 54 years	OPC	hippocampus
SRR1974586	postnatal 54 years	OPC	hippocampus
SRR1974587	postnatal 54 years	OPC	hippocampus
SRR1974588	postnatal 54 years	OPC	hippocampus
SRR1974589	postnatal 54 years	OPC	hippocampus
SRR1974590	postnatal 54 years	microglia	hippocampus
SRR1974591	postnatal 54 years	microglia	hippocampus
SRR1974592	postnatal 54 years	OPC	hippocampus
SRR1974593	postnatal 54 years	OPC	hippocampus
SRR1974594	postnatal 54 years	OPC	hippocampus
SRR1974595	postnatal 54 years	microglia	hippocampus
SRR1974596	postnatal 54 years	OPC	hippocampus
SRR1974597	postnatal 54 years	microglia	hippocampus
SRR1974598	postnatal 54 years	microglia	hippocampus
SRR1974599	postnatal 54 years	microglia	hippocampus
SRR1974600	postnatal 54 years	OPC	hippocampus
SRR1974601	postnatal 37 years	hybrid	cortex
SRR1974602	postnatal 37 years	neurons	cortex
SRR1974603	postnatal 37 years	neurons	cortex
SRR1974604	postnatal 37 years	astrocytes	cortex
SRR1974605	postnatal 37 years	neurons	cortex
SRR1974606	postnatal 37 years	microglia	cortex
SRR1974607	postnatal 37 years	neurons	cortex
SRR1974608	postnatal 37 years	hybrid	cortex
SRR1974609	postnatal 37 years	neurons	cortex
SRR1974610	postnatal 37 years	astrocytes	cortex
SRR1974611	postnatal 37 years	neurons	cortex
SRR1974612	postnatal 37 years	neurons	cortex
SRR1974613	postnatal 37 years	neurons	cortex
SRR1974614	postnatal 37 years	neurons	cortex
SRR1974615	postnatal 37 years	neurons	cortex
SRR1974616	postnatal 37 years	oligodendrocytes	cortex
SRR1974617	postnatal 37 years	neurons	cortex
SRR1974618	postnatal 37 years	neurons	cortex
SRR1974619	postnatal 37 years	hybrid	cortex
SRR1974620	postnatal 37 years	neurons	cortex
SRR1974621	postnatal 37 years	neurons	cortex
SRR1974622	postnatal 37 years	neurons	cortex
SRR1974623	postnatal 37 years	neurons	cortex
SRR1974624	postnatal 37 years	neurons	cortex
SRR1974625	postnatal 37 years	neurons	cortex
SRR1974626	postnatal 37 years	neurons	cortex
SRR1974627	postnatal 37 years	neurons	cortex
SRR1974628	postnatal 37 years	neurons	cortex
SRR1974629	postnatal 37 years	neurons	cortex
SRR1974630	postnatal 37 years	neurons	cortex
SRR1974631	postnatal 37 years	neurons	cortex
SRR1974632	postnatal 37 years	neurons	cortex
SRR1974633	postnatal 37 years	neurons	cortex
SRR1974634	postnatal 37 years	neurons	cortex
SRR1974635	postnatal 37 years	neurons	cortex
SRR1974636	postnatal 37 years	neurons	cortex
SRR1974637	postnatal 37 years	astrocytes	cortex
SRR1974638	postnatal 37 years	neurons	cortex
SRR1974639	postnatal 37 years	neurons	cortex
SRR1974640	postnatal 37 years	neurons	cortex
SRR1974641	postnatal 37 years	astrocytes	cortex
SRR1974642	postnatal 37 years	neurons	cortex
SRR1974643	postnatal 37 years	neurons	cortex
SRR1974644	postnatal 37 years	endothelial	cortex
SRR1974645	postnatal 37 years	neurons	cortex
SRR1974646	postnatal 37 years	neurons	cortex
SRR1974647	postnatal 37 years	astrocytes	cortex
SRR1974648	postnatal 37 years	neurons	cortex
SRR1974649	postnatal 37 years	neurons	cortex
SRR1974650	postnatal 37 years	neurons	cortex
SRR1974651	postnatal 37 years	astrocytes	cortex
SRR1974652	postnatal 37 years	neurons	cortex
SRR1974653	postnatal 37 years	astrocytes	cortex
SRR1974654	postnatal 37 years	neurons	cortex
SRR1974655	postnatal 37 years	neurons	cortex
SRR1974656	postnatal 37 years	neurons	cortex
SRR1974657	postnatal 37 years	neurons	cortex
SRR1974658	postnatal 37 years	neurons	cortex
SRR1974659	postnatal 37 years	neurons	cortex
SRR1974660	postnatal 37 years	neurons	cortex
